Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Voltage L-L L-N Min Max,190.1,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
AB,189.9,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
v,190.1,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
BC,190.0,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
v,,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
CA,,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
v,,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
Average,,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
v,,[],[],"['2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58', '2024-07-22 16:36:58']"
